ItemCode,Description,CategoryDescript,Sum_Qty,StoreCode,LotNumber,Unit_Cost,Value_On_Hand
SOC01,Versus Socks Size 4-7,Socks,61,RM,02032025RM81,90.0000,5490.0000
SOC02,Versus Socks Size 8 - 12,Socks,153,RM,02032025RM82,90.0000,13770.0000
STI,Stickers,Stickers,100,RM,02032025RM69,0.0000,0.0000
TMB1-S,T-shirt Moon Blue Small,T-Shirts,9,RM,02032025RM56,105.9000,953.1000
TMB2-M,T-shirt Moon Blue Medium,T-Shirts,14,RM,02032025RM57,105.9000,1482.6000
TMB3-L,T-shirt Moon Blue Large,T-Shirts,17,RM,02032025RM58,105.9000,1800.3000
TMB4-XL,T-shirt Moon Blue XL,T-Shirts,7,RM,02032025RM59,112.9000,790.3000
TMB5-2XL,T-shirt Moon Blue 2XL,T-Shirts,1,RM,02032025RM60,112.9000,112.9000
TMB6-3XL,T-shirt Moon Blue 3XL,T-Shirts,0,RM,02032025RM61,112.9000,0.0000
TMO1-S,T-shirt Moon Olive Small,T-Shirts,9,RM,02032025RM62,105.9000,953.1000
TMO2-M,T-shirt Moon Olive Medium,T-Shirts,16,RM,02032025RM63,105.9000,1694.4000
TMO3-L,T-shirt Moon Olive Large,T-Shirts,21,RM,02032025RM64,105.9000,2223.9000
TMO4-XL,T-shirt Moon Olive XL,T-Shirts,10,RM,02032025RM65,112.9000,1129.0000
TMO5-2XL,T-shirt Moon Olive 2XL,T-Shirts,1,RM,02032025RM66,112.9000,112.9000
TMO6-3XL,T-shirt Moon Olive 3XL,T-Shirts,1,RM,02032025RM67,112.9000,112.9000
TOY01,Leopard Toy Small 30cm,Toys,0,RM,02032025RM78,198.0000,0.0000
TOY04,Crochet Leopard - Pip,Toys,0,RM,02032025RM79,260.0000,0.0000
TRA001,Transport,Education,0,RM,,0.0000,0.0000
WHE001,Wheel Cover,Accessories,0,RM,02032025RM70,738.2600,0.0000
